,fold,feature_name,feature,loss
212,train,knn,0.0,1.0
213,train,knn,0.0,1.0
214,train,knn,0.0,1.0
215,train,knn,0.0,1.0
216,train,knn,0.0,1.0
217,train,knn,0.0,1.0
218,train,knn,0.0,1.0
219,train,knn,0.0,1.0
220,train,knn,0.0,1.0
221,train,knn,0.0,1.0
222,train,knn,0.0,1.0
223,train,knn,0.0,1.0
224,train,knn,0.0,1.0
225,train,knn,0.0,1.0
226,train,knn,0.0,1.0
227,train,knn,0.0,1.0
228,train,knn,0.0,1.0
229,train,knn,0.0,1.0
230,train,knn,0.0,1.0
231,train,knn,0.0,1.0
232,train,knn,0.0,1.0
233,train,knn,0.0,1.0
234,train,knn,0.0,1.0
235,train,knn,0.0,1.0
236,train,knn,0.0,1.0
237,train,knn,0.0,1.0
238,train,knn,0.0,1.0
239,train,knn,0.0,1.0
240,train,knn,0.0,1.0
241,train,knn,0.0,1.0
242,train,knn,0.0,1.0
243,train,knn,0.0,1.0
244,train,knn,0.0,1.0
245,train,knn,0.0,1.0
246,train,knn,0.0,1.0
247,train,knn,0.0,1.0
248,train,knn,0.0,1.0
249,train,knn,0.0,1.0
250,train,knn,0.0,1.0
251,train,knn,0.0,1.0
252,train,knn,0.0,1.0
253,train,knn,0.0,1.0
254,train,knn,0.0,1.0
255,train,knn,0.0,1.0
256,train,knn,0.0,1.0
257,train,knn,0.0,1.0
258,train,knn,0.0,1.0
259,train,knn,0.0,1.0
260,train,knn,0.0,1.0
261,train,knn,0.0,1.0
262,train,knn,0.0,1.0
263,train,knn,0.0,1.0
264,train,knn,0.0,1.0
265,train,knn,0.0,1.0
266,train,knn,0.0,1.0
267,train,knn,0.0,0.0
268,train,knn,0.0,1.0
269,train,knn,0.0,1.0
270,train,knn,0.0,1.0
271,train,knn,0.0,1.0
272,train,knn,0.0,1.0
273,train,knn,0.0,1.0
274,train,knn,0.0,1.0
275,train,knn,0.0,1.0
276,train,knn,0.0,1.0
277,train,knn,0.0,0.0
278,train,knn,0.0,1.0
279,train,knn,0.0,1.0
280,train,knn,0.0,1.0
281,train,knn,0.0,1.0
282,train,knn,0.0,1.0
283,train,knn,0.0,1.0
284,train,knn,0.0,1.0
285,train,knn,0.0,1.0
286,train,knn,0.0,1.0
287,train,knn,0.0,1.0
288,train,knn,0.0,1.0
289,train,knn,0.0,1.0
290,train,knn,0.0,0.0
291,train,knn,0.0,1.0
292,train,knn,0.0,0.0
293,train,knn,0.0,1.0
294,train,knn,0.0,1.0
295,train,knn,0.0,1.0
296,train,knn,0.0,1.0
297,train,knn,0.0,1.0
298,train,knn,0.0,1.0
299,train,knn,0.0,1.0
300,train,knn,0.0,1.0
301,train,knn,0.0,1.0
302,train,knn,0.0,1.0
303,train,knn,0.0,1.0
304,train,knn,0.0,1.0
305,train,knn,0.0,1.0
306,train,knn,0.0,1.0
307,train,knn,0.0,1.0
308,train,knn,0.0,1.0
309,train,knn,0.0,1.0
310,train,knn,0.0,1.0
311,train,knn,0.0,1.0
312,train,knn,0.0,1.0
313,train,knn,0.0,1.0
314,train,knn,0.0,1.0
315,train,knn,0.0,1.0
316,train,knn,0.0,0.0
317,train,knn,0.0,1.0
318,train,knn,0.0,1.0
319,train,knn,0.0,1.0
320,train,knn,0.0,1.0
321,train,knn,0.0,1.0
322,train,knn,0.0,1.0
323,train,knn,0.0,1.0
324,train,knn,0.0,1.0
325,train,knn,0.0,1.0
326,train,knn,0.0,1.0
327,train,knn,0.0,0.0
328,train,knn,0.0,1.0
329,train,knn,0.0,1.0
330,train,knn,0.0,1.0
331,train,knn,0.0,1.0
332,train,knn,0.0,1.0
333,train,knn,0.0,1.0
334,train,knn,0.0,0.0
335,train,knn,0.0,1.0
336,train,knn,0.0,1.0
337,train,knn,0.0,0.0
338,train,knn,0.0,1.0
339,train,knn,0.0,1.0
340,train,knn,0.0,1.0
341,train,knn,0.0,1.0
342,train,knn,0.0,1.0
343,train,knn,0.0,1.0
344,train,knn,0.0,1.0
345,train,knn,0.0,1.0
346,train,knn,0.0,1.0
347,train,knn,0.0,1.0
348,train,knn,0.0,1.0
349,train,knn,0.0,1.0
350,train,knn,0.0,1.0
351,train,knn,0.0,1.0
352,train,knn,0.0,1.0
353,train,knn,0.0,1.0
354,train,knn,0.0,1.0
355,train,knn,0.0,1.0
356,train,knn,0.0,1.0
357,train,knn,0.0,1.0
358,train,knn,0.0,1.0
359,train,knn,0.0,1.0
360,train,knn,0.0,1.0
361,train,knn,0.0,1.0
362,train,knn,0.0,1.0
363,train,knn,0.0,1.0
364,train,knn,0.0,1.0
365,train,knn,0.0,1.0
366,train,knn,0.0,1.0
367,train,knn,0.0,1.0
368,train,knn,0.0,1.0
369,train,knn,0.0,1.0
370,train,knn,0.0,1.0
371,train,knn,0.0,1.0
372,train,knn,0.0,1.0
373,train,knn,0.0,1.0
374,train,knn,0.0,1.0
375,train,knn,0.0,1.0
376,train,knn,0.0,1.0
377,train,knn,0.0,1.0
378,train,knn,0.0,1.0
379,train,knn,0.0,1.0
380,train,knn,0.0,1.0
381,train,knn,0.0,1.0
382,train,knn,0.0,0.0
383,train,knn,0.0,1.0
384,train,knn,0.0,1.0
385,train,knn,0.0,1.0
386,train,knn,0.0,1.0
387,train,knn,0.0,1.0
388,train,knn,0.0,1.0
389,train,knn,0.0,1.0
390,train,knn,0.0,1.0
391,train,knn,0.0,1.0
392,train,knn,0.0,1.0
393,train,knn,0.0,1.0
394,train,knn,0.0,1.0
