,fold,feature_name,feature,loss,acc,idx,class
0,contrast_0.025,energy,-2.11254620552063,5.245195e-06,1.0,314.0,5.0
1,contrast_0.025,energy,1.179019808769226,0.22054629,1.0,1520.0,1.0
2,contrast_0.025,energy,-4.668510437011719,0.00056227134,1.0,695.0,6.0
3,contrast_0.025,energy,4.195183753967285,-0.0,1.0,1171.0,9.0
4,contrast_0.025,energy,3.751577377319336,0.060345326,1.0,972.0,9.0
5,contrast_0.025,energy,2.6749351024627686,0.014818598,1.0,1305.0,2.0
6,contrast_0.025,energy,11.268223762512207,-0.0,1.0,426.0,5.0
7,contrast_0.025,energy,1.743904948234558,2.264974e-06,1.0,1002.0,6.0
8,contrast_0.025,energy,6.969946384429932,0.03091938,1.0,899.0,6.0
9,contrast_0.025,energy,-1.3618192672729492,-0.0,1.0,1113.0,7.0
10,contrast_0.025,energy,0.33130890130996704,3.1295056,0.0,1199.0,0.0
11,contrast_0.025,energy,0.13642489910125732,6.735098e-05,1.0,432.0,6.0
12,contrast_0.025,energy,-1.5215789079666138,10.007648,0.0,796.0,4.0
13,contrast_0.025,energy,-4.028297424316406,0.00012206286,1.0,254.0,14.0
14,contrast_0.025,energy,-10.438715934753418,7.140382e-05,1.0,989.0,6.0
15,contrast_0.025,energy,8.403257369995117,1.394739e-05,1.0,324.0,7.0
16,contrast_0.025,energy,1.7791178226470947,-0.0,1.0,516.0,6.0
17,contrast_0.025,energy,3.0997588634490967,8.487341e-05,1.0,1650.0,8.0
18,contrast_0.025,energy,0.6842215061187744,1.7881378e-06,1.0,636.0,8.0
19,contrast_0.025,energy,1.2306472063064575,6.270212e-05,1.0,313.0,14.0
20,contrast_0.025,energy,2.5124382972717285,0.00013982272,1.0,643.0,0.0
21,contrast_0.025,energy,-5.912691593170166,0.009574329,1.0,1255.0,1.0
22,contrast_0.025,energy,2.0796189308166504,0.11598321,1.0,1051.0,5.0
23,contrast_0.025,energy,4.25830078125,0.13959326,1.0,595.0,3.0
24,contrast_0.025,energy,1.2239055633544922,0.0004217927,1.0,1464.0,2.0
25,contrast_0.025,energy,4.362902641296387,1.7233539,0.0,910.0,9.0
26,contrast_0.025,energy,3.399451494216919,6.496695e-05,1.0,940.0,1.0
27,contrast_0.025,energy,-7.2315592765808105,0.0009414293,1.0,767.0,7.0
28,contrast_0.025,energy,1.1505036354064941,-0.0,1.0,667.0,11.0
29,contrast_0.025,energy,0.3130250871181488,5.0067774e-06,1.0,1506.0,2.0
30,contrast_0.025,energy,-0.49009793996810913,0.000992878,1.0,1047.0,2.0
31,contrast_0.025,energy,-9.013249397277832,0.00028820653,1.0,739.0,7.0
32,contrast_0.025,energy,1.7146300077438354,0.24817543,1.0,615.0,7.0
33,contrast_0.025,energy,0.9702056646347046,0.0011685217,1.0,430.0,4.0
34,contrast_0.025,energy,-1.1040352582931519,0.00024506426,1.0,102.0,7.0
35,contrast_0.025,energy,2.671734571456909,1.5497088e-05,1.0,542.0,2.0
36,contrast_0.025,energy,-5.297747611999512,0.03148048,1.0,123.0,0.0
37,contrast_0.025,energy,-1.256134033203125,-0.0,1.0,557.0,11.0
38,contrast_0.025,energy,0.3120405673980713,0.9640058,0.0,531.0,3.0
39,contrast_0.025,energy,2.961616039276123,0.0004762469,1.0,341.0,7.0
40,contrast_0.025,energy,-0.6543893218040466,0.00042024365,1.0,134.0,0.0
41,contrast_0.025,energy,-1.561629056930542,7.736384e-05,1.0,1085.0,0.0
42,contrast_0.025,energy,-2.0405988693237305,0.0002945228,1.0,46.0,5.0
43,contrast_0.025,energy,-3.0121703147888184,0.20673114,1.0,1165.0,0.0
44,contrast_0.025,energy,0.7866529226303101,0.00074084965,1.0,1225.0,7.0
45,contrast_0.025,energy,-1.324514627456665,3.3378044e-05,1.0,359.0,9.0
46,contrast_0.025,energy,0.10230434685945511,0.6299641,1.0,114.0,9.0
47,contrast_0.025,energy,2.1847152709960938,0.16236606,1.0,382.0,1.0
48,contrast_0.025,energy,-5.966289520263672,-0.0,1.0,3.0,5.0
49,contrast_0.025,energy,-5.08167839050293,0.45593238,1.0,332.0,0.0
50,contrast_0.025,energy,0.016396984457969666,0.04836428,1.0,609.0,0.0
51,contrast_0.025,energy,-0.7859781384468079,0.10206966,1.0,241.0,0.0
52,contrast_0.025,energy,1.2109360694885254,0.035795115,1.0,934.0,0.0
53,contrast_0.025,energy,-4.866732120513916,2.42317,0.0,1554.0,1.0
54,contrast_0.025,energy,2.7564280033111572,0.2593126,1.0,693.0,9.0
55,contrast_0.025,energy,-2.311249017715454,-0.0,1.0,927.0,7.0
56,contrast_0.025,energy,-1.2313063144683838,-0.0,1.0,824.0,0.0
57,contrast_0.025,energy,-2.1494510173797607,2.6809158,0.0,932.0,14.0
58,contrast_0.025,energy,-7.672746658325195,1.585471e-05,1.0,504.0,2.0
59,contrast_0.025,energy,8.082552909851074,1.4182975,0.0,995.0,4.0
60,contrast_0.025,energy,2.0393104553222656,7.152555e-07,1.0,60.0,0.0
61,contrast_0.025,energy,-4.111083030700684,0.38923693,1.0,1433.0,6.0
62,contrast_0.025,energy,2.0076653957366943,0.024352232,1.0,69.0,2.0
63,contrast_0.025,energy,2.09102201461792,0.4258888,1.0,464.0,0.0
64,contrast_0.025,energy,-2.3498692512512207,0.36744082,1.0,1223.0,7.0
65,contrast_0.025,energy,-4.248785972595215,0.0001335055,1.0,240.0,6.0
66,contrast_0.025,energy,-2.8473305702209473,1.3113013e-06,1.0,51.0,14.0
67,contrast_0.025,energy,-5.874027252197266,0.049472444,1.0,990.0,1.0
68,contrast_0.025,energy,-5.173467636108398,0.21203636,1.0,405.0,9.0
69,contrast_0.025,energy,3.5401086807250977,1.9558932,0.0,1321.0,4.0
70,contrast_0.025,energy,1.6648828983306885,0.045271575,1.0,11.0,3.0
71,contrast_0.025,energy,-2.2034924030303955,-0.0,1.0,331.0,6.0
72,contrast_0.025,energy,-1.9151431322097778,0.007568731,1.0,733.0,0.0
73,contrast_0.025,energy,-6.16419792175293,-0.0,1.0,906.0,11.0
74,contrast_0.025,energy,4.351466178894043,1.5408821,0.0,832.0,7.0
75,contrast_0.025,energy,-0.1425923854112625,0.12862402,1.0,1269.0,0.0
76,contrast_0.025,energy,-9.072966575622559,-0.0,1.0,1592.0,2.0
77,contrast_0.025,energy,2.5157034397125244,-0.0,1.0,1655.0,5.0
78,contrast_0.025,energy,10.556357383728027,18.85444,0.0,1101.0,13.0
79,contrast_0.025,energy,-4.388087272644043,1.1920928e-07,1.0,671.0,7.0
80,contrast_0.025,energy,-0.6484566330909729,2.5748875e-05,1.0,1031.0,14.0
81,contrast_0.025,energy,0.6412972211837769,0.06275924,1.0,440.0,11.0
82,contrast_0.025,energy,1.6281825304031372,0.22415099,1.0,522.0,14.0
83,contrast_0.025,energy,6.295980930328369,5.960463e-07,1.0,233.0,7.0
84,contrast_0.025,energy,1.24607515335083,0.3018402,1.0,1278.0,9.0
85,contrast_0.025,energy,-3.9260904788970947,6.496695e-05,1.0,988.0,8.0
86,contrast_0.025,energy,6.388567924499512,0.001140659,1.0,415.0,0.0
87,contrast_0.025,energy,3.0244481563568115,0.18416645,1.0,1430.0,5.0
88,contrast_0.025,energy,-2.1307239532470703,-0.0,1.0,855.0,0.0
89,contrast_0.025,energy,9.352181434631348,4.6491514e-06,1.0,764.0,8.0
90,contrast_0.025,energy,33.26833724975586,0.0002381518,1.0,805.0,7.0
91,contrast_0.025,energy,-2.597179889678955,0.008222065,1.0,177.0,3.0
92,contrast_0.025,energy,0.13663122057914734,0.16651344,1.0,1248.0,0.0
93,contrast_0.025,energy,-11.032492637634277,0.055422567,1.0,836.0,7.0
94,contrast_0.025,energy,2.9491963386535645,2.3841855e-07,1.0,1086.0,1.0
95,contrast_0.025,energy,-0.736557126045227,0.03582433,1.0,1092.0,7.0
96,contrast_0.025,energy,-6.04177188873291,10.257703,0.0,15.0,7.0
97,contrast_0.025,energy,2.243220567703247,0.013119448,1.0,169.0,7.0
98,contrast_0.025,energy,6.941219806671143,0.00011979816,1.0,888.0,6.0
99,contrast_0.025,energy,-3.4522979259490967,1.0587913,0.0,965.0,0.0
100,contrast_0.025,energy,3.032663583755493,0.00045813556,1.0,226.0,7.0
101,contrast_0.025,energy,3.5248570442199707,0.47547638,1.0,31.0,1.0
