,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,Rate Error,Accuracy Error,dsd,ba,tpr,tnr,rate,test_set,val_set
0,Base Tree,350.5,722.8771514854825,657.3208020050125,0.9855939095925439,0.9963408521303259,0.09228070175438596,0.0,0.1696973469298246,0.9990000000000001,0.9200000000000002,0.9200000000000002,0.1696973469298246,0.01220947794003757,knn,0.9758888888888888,0.8796666666666666,0.9277777777777777,0.0,CVC-ClinicDB,CVC-ClinicDB
1,Detector Tree,350.5,894.9825345941656,774.3785463659148,0.9723841749221375,0.9963408521303259,0.09228070175438596,0.0,0.1696973469298246,0.9990000000000001,0.9200000000000002,0.9200000000000002,0.1696973469298246,0.023956677208188313,knn,0.9758888888888888,0.8796666666666666,0.9277777777777777,0.0,CVC-ClinicDB,CVC-ClinicDB
0,Base Tree,350.5,754.9713820851504,663.8947368421053,0.9803325603139098,0.9952631578947368,0.18137844611528822,0.09275689223057644,0.2362967048872181,0.9990000000000001,0.9200000000000002,0.9200000000000002,0.13629670488721807,0.016990796840726807,knn,0.9758888888888888,0.8796666666666666,0.9277777777777777,0.1,CVC-ClinicDB,CVC-ClinicDB
1,Detector Tree,350.5,1019.2449426828704,894.3393233082708,0.9619004804805218,0.9952631578947368,0.18137844611528822,0.09275689223057644,0.2362967048872181,0.9990000000000001,0.9200000000000002,0.9200000000000002,0.13629670488721807,0.03336267741421507,knn,0.9758888888888888,0.8796666666666666,0.9277777777777777,0.1,CVC-ClinicDB,CVC-ClinicDB
0,Base Tree,350.5,788.7733405862155,727.7994987468671,0.974791255641604,0.9847869674185464,0.26481203007518794,0.19075187969924812,0.3064398020050126,0.9990000000000001,0.9200000000000002,0.9200000000000002,0.10643980200501257,0.01327382714411028,knn,0.9758888888888888,0.8796666666666666,0.9277777777777777,0.2,CVC-ClinicDB,CVC-ClinicDB
1,Detector Tree,350.5,1150.119329853887,1006.2005513784461,0.9508589506531325,0.9847869674185464,0.26481203007518794,0.19075187969924812,0.3064398020050126,0.9990000000000001,0.9200000000000002,0.9200000000000002,0.10643980200501257,0.033928016765413814,knn,0.9758888888888888,0.8796666666666666,0.9277777777777777,0.2,CVC-ClinicDB,CVC-ClinicDB
0,Base Tree,350.5,831.5491027486529,758.375939849624,0.9677788356149749,0.9797744360902256,0.3788220551378446,0.32481203007518794,0.3952046124686717,0.9990000000000001,0.9200000000000002,0.9200000000000002,0.09520461246867169,0.012656885359461148,knn,0.9758888888888888,0.8796666666666666,0.9277777777777777,0.30000000000000004,CVC-ClinicDB,CVC-ClinicDB
1,Detector Tree,350.5,1315.7384805491265,1159.5214285714285,0.9368860959799048,0.9797744360902256,0.3788220551378446,0.32481203007518794,0.3952046124686717,0.9990000000000001,0.9200000000000002,0.9200000000000002,0.09520461246867169,0.04288834011032077,knn,0.9758888888888888,0.8796666666666666,0.9277777777777777,0.30000000000000004,CVC-ClinicDB,CVC-ClinicDB
0,Base Tree,350.5,865.4544127363846,817.0827067669173,0.9622205880760025,0.9701503759398495,0.46781954887218047,0.42804511278195484,0.46556217625313284,0.9990000000000001,0.9200000000000002,0.9200000000000002,0.06556217625313283,0.00995565067061402,knn,0.9758888888888888,0.8796666666666666,0.9277777777777777,0.4,CVC-ClinicDB,CVC-ClinicDB
1,Detector Tree,350.5,1447.013023896901,1276.916090225564,0.925810806022235,0.9701503759398495,0.46781954887218047,0.42804511278195484,0.46556217625313284,0.9990000000000001,0.9200000000000002,0.9200000000000002,0.06556217625313283,0.044339569917614646,knn,0.9758888888888888,0.8796666666666666,0.9277777777777777,0.4,CVC-ClinicDB,CVC-ClinicDB
0,Base Tree,350.5,905.2446379681953,840.4736842105264,0.9556976003330828,0.9663157894736842,0.5671177944862156,0.5310275689223057,0.5481316413533834,0.9990000000000001,0.9200000000000002,0.9200000000000002,0.04813164135338345,0.01222636149686712,knn,0.9758888888888888,0.8796666666666666,0.9277777777777777,0.5,CVC-ClinicDB,CVC-ClinicDB
1,Detector Tree,350.5,1601.0727758620378,1410.479097744361,0.912813187593654,0.9663157894736842,0.5671177944862156,0.5310275689223057,0.5481316413533834,0.9990000000000001,0.9200000000000002,0.9200000000000002,0.04813164135338345,0.05350260188003019,knn,0.9758888888888888,0.8796666666666666,0.9277777777777777,0.5,CVC-ClinicDB,CVC-ClinicDB
0,Base Tree,350.5,933.2567762490976,833.1353383458646,0.9511054465165414,0.9675187969924811,0.6244611528822055,0.5719548872180451,0.6062601706766917,0.9990000000000001,0.9200000000000002,0.9200000000000002,0.02850661115288212,0.01937386104711775,knn,0.9758888888888888,0.8796666666666666,0.9277777777777777,0.6000000000000001,CVC-ClinicDB,CVC-ClinicDB
1,Detector Tree,350.5,1709.5301432287047,1476.5288721804511,0.9036629231097842,0.9675187969924811,0.6244611528822055,0.5719548872180451,0.6062601706766917,0.9990000000000001,0.9200000000000002,0.9200000000000002,0.02850661115288212,0.06386809367823215,knn,0.9758888888888888,0.8796666666666666,0.9277777777777777,0.6000000000000001,CVC-ClinicDB,CVC-ClinicDB
0,Base Tree,350.5,967.1620862368294,891.8421052631579,0.9455471989775689,0.9578947368421052,0.7134586466165413,0.675187969924812,0.6766177344611529,0.9990000000000001,0.9200000000000002,0.9200000000000002,0.027331545614035144,0.015162523288972383,knn,0.9758888888888888,0.8796666666666666,0.9277777777777777,0.7000000000000001,CVC-ClinicDB,CVC-ClinicDB
